Filename,Vague Score,Cosine Similarity
Resume_of_ID_284.pdf,3,0.1133
Resume_of_ID_285.pdf,2,0.0936
Resume_of_ID_286.pdf,4,0.0765
Resume_of_ID_287.pdf,2,0.0563
Resume_of_ID_288.pdf,6,0.1158
Resume_of_ID_289.pdf,5,0.1124
Resume_of_ID_29.pdf,0,0.0354
Resume_of_ID_290.pdf,2,0.0523
Resume_of_ID_291.pdf,3,0.137
Resume_of_ID_292.pdf,3,0.0685
Resume_of_ID_293.pdf,2,0.0482
Resume_of_ID_294.pdf,3,0.1047
Resume_of_ID_295.pdf,5,0.0968
Resume_of_ID_296.pdf,7,0.0865
Resume_of_ID_297.pdf,0,0.0763
Resume_of_ID_298.pdf,0,0.0948
Resume_of_ID_299.pdf,4,0.0888
Resume_of_ID_3.pdf,1,0.0982
Resume_of_ID_30.pdf,7,0.0875
Resume_of_ID_300.pdf,5,0.0692
Resume_of_ID_301.pdf,0,0.0959
Resume_of_ID_302.pdf,3,0.1022
Resume_of_ID_303.pdf,0,0.0617
Resume_of_ID_304.pdf,6,0.0886
Resume_of_ID_305.pdf,1,0.0648
Resume_of_ID_306.pdf,1,0.1004
Resume_of_ID_307.pdf,2,0.1311
Resume_of_ID_308.pdf,1,0.0915
Resume_of_ID_309.pdf,3,0.0869
Resume_of_ID_31.pdf,3,0.0974
Resume_of_ID_310.pdf,0,0.0742
Resume_of_ID_311.pdf,7,0.1507
Resume_of_ID_312.pdf,0,0.0469
Resume_of_ID_313.pdf,4,0.1333
Resume_of_ID_314.pdf,2,0.0818
Resume_of_ID_315.pdf,6,0.0804
Resume_of_ID_316.pdf,0,0.0685
Resume_of_ID_317.pdf,2,0.1067
Resume_of_ID_318.pdf,2,0.0809
Resume_of_ID_319.pdf,2,0.0987
Resume_of_ID_32.pdf,8,0.1184
Resume_of_ID_320.pdf,0,0.1105
Resume_of_ID_321.pdf,6,0.0785
Resume_of_ID_322.pdf,5,0.1068
Resume_of_ID_323.pdf,4,0.0912
Resume_of_ID_324.pdf,0,0.0707
Resume_of_ID_325.pdf,7,0.1085
Resume_of_ID_326.pdf,6,0.1429
Resume_of_ID_327.pdf,0,0.0593
Resume_of_ID_328.pdf,0,0.0388
Resume_of_ID_329.pdf,4,0.0609
Resume_of_ID_33.pdf,0,0.0648
Resume_of_ID_330.pdf,4,0.0817
Resume_of_ID_331.pdf,6,0.1161
Resume_of_ID_332.pdf,1,0.0791
Resume_of_ID_333.pdf,3,0.0979
Resume_of_ID_334.pdf,5,0.1022
Resume_of_ID_335.pdf,1,0.1135
Resume_of_ID_336.pdf,4,0.0875
Resume_of_ID_337.pdf,2,0.1339
Resume_of_ID_338.pdf,5,0.0954
Resume_of_ID_339.pdf,5,0.091
Resume_of_ID_34.pdf,3,0.0725
Resume_of_ID_340.pdf,7,0.1518
Resume_of_ID_341.pdf,1,0.1451
Resume_of_ID_342.pdf,4,0.0747
Resume_of_ID_343.pdf,2,0.0909
Resume_of_ID_344.pdf,7,0.1249
Resume_of_ID_345.pdf,4,0.0589
Resume_of_ID_346.pdf,4,0.0648
Resume_of_ID_347.pdf,0,0.0859
Resume_of_ID_348.pdf,1,0.0657
Resume_of_ID_349.pdf,4,0.1014
Resume_of_ID_35.pdf,3,0.0565
Resume_of_ID_350.pdf,9,0.1206
Resume_of_ID_351.pdf,10,0.2134
Resume_of_ID_352.pdf,1,0.093
Resume_of_ID_353.pdf,0,0.1002
Resume_of_ID_354.pdf,5,0.112
Resume_of_ID_355.pdf,0,0.0926
Resume_of_ID_356.pdf,2,0.065
Resume_of_ID_357.pdf,5,0.1175
Resume_of_ID_358.pdf,3,0.1232
Resume_of_ID_359.pdf,0,0.0786
Resume_of_ID_36.pdf,5,0.1187
Resume_of_ID_360.pdf,3,0.0152
Resume_of_ID_361.pdf,3,0.0669
Resume_of_ID_362.pdf,1,0.1057
Resume_of_ID_363.pdf,0,0.1491
Resume_of_ID_364.pdf,0,0.0492
Resume_of_ID_365.pdf,2,0.1448
Resume_of_ID_366.pdf,2,0.0878
Resume_of_ID_367.pdf,2,0.0907
Resume_of_ID_368.pdf,3,0.0906
Resume_of_ID_369.pdf,3,0.0787
Resume_of_ID_37.pdf,6,0.0853
Resume_of_ID_370.pdf,2,0.0658
Resume_of_ID_371.pdf,0,0.0797
Resume_of_ID_372.pdf,5,0.0743
Resume_of_ID_373.pdf,0,0.0642
Resume_of_ID_374.pdf,1,0.0808
Resume_of_ID_375.pdf,0,0.0607
Resume_of_ID_376.pdf,0,0.0582
Resume_of_ID_377.pdf,2,0.1049
Resume_of_ID_378.pdf,1,0.0924
Resume_of_ID_379.pdf,2,0.1018
Resume_of_ID_38.pdf,2,0.0717
Resume_of_ID_380.pdf,0,0.1231
Resume_of_ID_381.pdf,5,0.0828
Resume_of_ID_382.pdf,0,0.1138
Resume_of_ID_383.pdf,0,0.0482
Resume_of_ID_384.pdf,6,0.1141
Resume_of_ID_385.pdf,0,0.0831
Resume_of_ID_386.pdf,4,0.1276
Resume_of_ID_387.pdf,3,0.063
Resume_of_ID_388.pdf,1,0.0791
Resume_of_ID_389.pdf,1,0.0557
Resume_of_ID_39.pdf,3,0.0997
Resume_of_ID_390.pdf,6,0.127
Resume_of_ID_391.pdf,4,0.1368
Resume_of_ID_392.pdf,5,0.1283
Resume_of_ID_393.pdf,2,0.1247
Resume_of_ID_394.pdf,4,0.1098
Resume_of_ID_395.pdf,9,0.0923
Resume_of_ID_396.pdf,0,0.0561
Resume_of_ID_397.pdf,2,0.0805
Resume_of_ID_398.pdf,8,0.1247
Resume_of_ID_399.pdf,1,0.0537
Resume_of_ID_4.pdf,5,0.0732
Resume_of_ID_40.pdf,7,0.1181
Resume_of_ID_400.pdf,7,0.0672
Resume_of_ID_401.pdf,12,0.1076
Resume_of_ID_402.pdf,2,0.0649
Resume_of_ID_403.pdf,3,0.1104
Resume_of_ID_404.pdf,3,0.0636
Resume_of_ID_405.pdf,2,0.0626
Resume_of_ID_406.pdf,12,0.1519
Resume_of_ID_407.pdf,4,0.099
Resume_of_ID_408.pdf,1,0.078
Resume_of_ID_409.pdf,3,0.1218
Resume_of_ID_41.pdf,9,0.1106
Resume_of_ID_410.pdf,0,0.0777
Resume_of_ID_411.pdf,0,0.1003
Resume_of_ID_412.pdf,2,0.1085
Resume_of_ID_413.pdf,3,0.0657
Resume_of_ID_414.pdf,9,0.0968
Resume_of_ID_415.pdf,2,0.0746
Resume_of_ID_416.pdf,2,0.1133
Resume_of_ID_417.pdf,9,0.1006
Resume_of_ID_418.pdf,1,0.1049
Resume_of_ID_419.pdf,1,0.1089
Resume_of_ID_42.pdf,2,0.1166
Resume_of_ID_420.pdf,7,0.1772
Resume_of_ID_421.pdf,2,0.0628
Resume_of_ID_422.pdf,7,0.0802
Resume_of_ID_423.pdf,6,0.1944
Resume_of_ID_424.pdf,3,0.098
Resume_of_ID_425.pdf,2,0.0764
Resume_of_ID_426.pdf,1,0.061
Resume_of_ID_427.pdf,5,0.098
Resume_of_ID_428.pdf,1,0.0727
Resume_of_ID_429.pdf,2,0.1156
Resume_of_ID_43.pdf,3,0.0862
Resume_of_ID_430.pdf,4,0.0893
Resume_of_ID_431.pdf,1,0.0726
Resume_of_ID_432.pdf,3,0.0856
Resume_of_ID_433.pdf,1,0.0974
Resume_of_ID_434.pdf,2,0.0958
Resume_of_ID_435.pdf,3,0.0692
Resume_of_ID_436.pdf,2,0.0809
Resume_of_ID_437.pdf,1,0.0565
Resume_of_ID_438.pdf,4,0.0716
Resume_of_ID_439.pdf,3,0.0995
Resume_of_ID_44.pdf,6,0.1014
Resume_of_ID_440.pdf,3,0.1161
Resume_of_ID_441.pdf,1,0.0653
Resume_of_ID_442.pdf,6,0.1232
Resume_of_ID_443.pdf,6,0.0983
Resume_of_ID_444.pdf,4,0.0694
Resume_of_ID_445.pdf,0,0.1109
Resume_of_ID_446.pdf,0,0.0626
Resume_of_ID_447.pdf,1,0.0394
Resume_of_ID_448.pdf,7,0.0962
Resume_of_ID_449.pdf,2,0.0923
Resume_of_ID_45.pdf,8,0.1293
Resume_of_ID_450.pdf,3,0.0677
Resume_of_ID_451.pdf,0,0.0677
Resume_of_ID_452.pdf,6,0.1614
Resume_of_ID_453.pdf,1,0.0513
Resume_of_ID_454.pdf,3,0.0856
Resume_of_ID_455.pdf,4,0.0975
Resume_of_ID_456.pdf,3,0.086
Resume_of_ID_457.pdf,0,0.0892
Resume_of_ID_458.pdf,1,0.0906
Resume_of_ID_459.pdf,3,0.0958
Resume_of_ID_46.pdf,1,0.0982
Resume_of_ID_460.pdf,5,0.0477
Resume_of_ID_461.pdf,5,0.109
Resume_of_ID_462.pdf,5,0.132
Resume_of_ID_463.pdf,4,0.1397
Resume_of_ID_464.pdf,6,0.17
Resume_of_ID_465.pdf,1,0.0596
Resume_of_ID_466.pdf,1,0.0933
Resume_of_ID_467.pdf,3,0.1195
Resume_of_ID_468.pdf,4,0.0641
Resume_of_ID_469.pdf,5,0.0972
Resume_of_ID_47.pdf,4,0.0693
Resume_of_ID_470.pdf,2,0.0783
Resume_of_ID_471.pdf,5,0.1175
Resume_of_ID_472.pdf,5,0.1229
Resume_of_ID_473.pdf,2,0.0549
Resume_of_ID_474.pdf,0,0.0697
Resume_of_ID_475.pdf,2,0.0635
